"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code","Created Date"
"1437988300","Tarrytown Expocare FL","3","07/30/2024"
"1457535528","Fairview Apple Valley Clinic MTM","3","06/01/2026"
"1457535528","Fairview Apple Valley MTM","3","09/21/2022"
"1457649667","Fairview Fridley Clinic MTM","3","07/21/2011"
"1457649667","Fairview Fridley Clinic MTM","3","11/09/2021"
"1467384867","City Base Dental Care","3","06/01/2026"
"1477698744","Fairview Fulton Primary Care Clinic MTM","3","06/01/2026"
"1477698744","M Health Primary Care Clinic MTM","3","09/22/2022"
"1477889806","Fairview Rosemount Clinic MTM","5","10/20/2009"
"1477889806","Fairview Rosemount Clinic MTM","5","11/09/2021"
"1487891768","Fairview Eden Prairie Clinic MTM","3","09/22/2022"
"1548202211","OCOEE PROFESSIONAL PHARMACY","3","07/06/2012"
"1548995004","North Ocean Avenue Dialysis","3","03/11/2025"
"1548995004","North Ocean Avenue Dialysis","3","07/19/2022"
"1578121356","Fairview Grand Itasca Clinic MTM","3","08/31/2022"
"1588596084","Seaglass","3","06/01/2026"
"1598712952","ACME PHARMACY #0779","3","06/01/2026"
"1598712952","SAV-ON PHARMACY #0779","3","07/30/2018"
"1679307110","SYMETRx Chiropractic and Injury Care","3","06/01/2026"
"1679517270","Richmond Kidney Center","3","02/13/2019"
"1679517270","Richmond Kidney Center","3","06/15/2006"
"1720171895","Miami Dade County Health Department","3","12/19/2007"
"1740824184","Getty Square Dialysis","3","07/14/2021"
"1740824184","Getty Square Dialysis","3","10/25/2019"
"1750910295","Paramus Dialysis","3","04/06/2020"
"1750910295","Paramus Dialysis","3","07/14/2021"
"1780624973","ACME PHARMACY #0893","3","06/01/2026"
"1780624973","SAV-ON PHARMACY #0893","3","07/24/2018"
"1790731321","ACME PHARMACY #1725","3","06/01/2026"
"1790731321","SAV-ON PHARMACY #1725","3","07/30/2018"
"1811829310","Signal Butte Kids Dentistry and Orthodontics","3","06/01/2026"
"1891009130","Horizons counseling of The Baby Fold","3","07/28/2010"
"1902074404","Comptroller State of Maryland, Central Payroll Bureau","3","04/27/2026"
"1902074404","University of Maryland, College Park","3","08/12/2009"
"1982534632","OP Specialty Bracing","3","05/22/2026"
"1023242609","Walgreens #12003","3","05/11/2009"
"1023242609","Walgreens #12003","3","08/24/2018"
"1033165030","ACME PHARMACY #0769","3","06/01/2026"
"1033165030","SAV-ON PHARMACY #0769","3","08/07/2018"
"1033304183","ACME PHARMACY #0730","3","06/01/2026"
"1033304183","SAV-ON PHARMACY #0730","3","09/04/2018"
"1033859525","Hilltop Recovery Residence","5","06/01/2026"
"1043159098","AUDUBON HOSPICE OF NEW ORLEANS","3","03/26/2026"
"1043267495","ACME PHARMACY #2789","3","06/01/2026"
"1043267495","SAV-ON PHARMACY #2789","3","09/10/2018"
"1053367052","ACME PHARMACY #3767","3","06/01/2026"
"1053367052","SAV-ON PHARMACY #3767","3","07/24/2018"
"1083854251","Blue Ridge ENT & Allergy","3","03/02/2009"
"1124074125","ACME PHARMACY #2977","3","06/01/2026"
"1124074125","SAV-ON PHARMACY #2977","3","08/07/2018"
"1164162657","Meadowview Recovery Residence","5","06/01/2026"
"1164808796","Madison Behavioral Services","3","06/09/2021"
"1205882123","ACME PHARMACY #3816","3","06/01/2026"
"1205882123","SAV-ON PHARMACY #3816","3","08/28/2018"
"1205882206","ACME PHARMACY #3719","3","06/01/2026"
"1205882206","SAV-ON PHARMACY #3719","3","08/07/2018"
"1265721856","Metropolitan Family Medical Clinic","3","04/04/2011"
"1285566695","Ten Acres Infusion","3","06/01/2026"
"1336398072","Walgreens #11358","3","08/24/2018"
"1336398072","Walgreens #11358","3","09/18/2008"
"1336790237","Aurora Endoscopy Center","3","09/23/2019"
"1376558460","WALGREENS #07702","3","06/03/2022"
"1376558460","WALGREENS #07702","3","06/27/2008"
"1417903410","ACME PHARMACY #3784","3","06/01/2026"
"1417903410","SAV-ON PHARMACY #3784","3","07/30/2018"
"1427005982","ACME PHARMACY #3796","3","06/01/2026"
"1427005982","SAV-ON PHARMACY #3796","3","09/04/2018"
"1427247725","Walgreens #10379","3","03/06/2008"
"1427247725","Walgreens #10379","3","08/23/2018"
"1467467555","WALGREENS #07572","3","01/30/2019"
"1467467555","WALGREENS #07572","3","10/05/2010"
"1487372173","Sparq PT","3","01/04/2023"
"1487372173","Sparq PT","3","08/18/2022"
"1487372173","Sparq Physical Therapy","3","08/18/2022"
"1487600482","ACME PHARMACY #4727","3","06/01/2026"
"1487600482","SAV-ON PHARMACY #4727","3","09/10/2018"
"1487849949","WALGREENS #09738","3","02/24/2022"
"1487849949","WALGREENS #09738","3","12/11/2008"
"1578519575","ACME PHARMACY #1770","3","06/01/2026"
"1578519575","SAV-ON PHARMACY #1770","3","09/04/2018"
"1578519591","ACME PHARMACY #0828","3","06/01/2026"
"1578519591","SAV-ON PHARMACY #0828","3","09/04/2018"
"1629083712","WALGREENS #09542","3","02/22/2022"
"1629083712","WALGREENS #09542","3","06/27/2008"
"1629357918","Fairview Brooklyn Park Clinic MTM","3","08/04/2011"
"1629357918","Fairview Brooklyn Park Clinic MTM","3","11/09/2021"
"1639117872","ACME PHARMACY #0882","3","06/01/2026"
"1639117872","SAV-ON PHARMACY #0882","3","07/24/2018"
"1639129372","METROPOLITAN FAMMILY MEDICAL CLINIC","3","05/11/2006"
"1659501070","Walgreens #12564","3","04/23/2018"
"1659501070","Walgreens #12564","3","07/20/2009"
"1659937944","Fairview Smileys Family Medicine Clinic MTM","3","06/01/2026"
"1659937944","Smileys Family Medicine Clinic MTM","3","11/09/2021"
"1669621231","Walgreens #11155","3","08/24/2018"
"1669621231","Walgreens #11155","3","09/18/2008"
"1689230971","Bethesda Family Medicine Clinic MTM","3","11/09/2021"
"1689230971","Fairview Bethesda Family Medicine Clinic MTM","3","06/01/2026"
"1689717613","METROPOLITAN INDUSTRIAL MEDICAL CLINIC","3","02/15/2007"
"1689719940","Fairview Burnsville Clinic MTM","3","09/23/2022"
"1689814121","FAIRVIEW UPTOWN CLINIC MTM","3","02/24/2009"
"1689814121","FAIRVIEW UPTOWN CLINIC MTM","3","11/09/2021"
"1699038273","Fairview Geriatric Services MTM","3","04/13/2023"
"1699038273","Fairview Geriatric Services MTM","3","06/19/2012"
"1740011394","ALMA THERAPY","3","10/22/2025"
"1750320156","Rehabilitation Center of Miami","5","08/27/2013"
"1750337754","ACME PHARMACY #4913","3","06/01/2026"
"1750337754","SAV-ON PHARMACY #4913","3","08/07/2018"
"1750337770","ACME PHARMACY #0817","3","06/01/2026"
"1750337770","SAV-ON PHARMACY #0817","3","09/04/2018"
"1750947040","Fairview Phalen Clinic MTM","3","06/01/2026"
"1750947040","UMP Phalen Clinic MTM","3","09/23/2022"
"1760527030","Fairview New Brighton Clinic MTM","3","09/23/2022"
"1780199026","Fairview Midway Clinic MTM","3","06/01/2026"
"1780199026","HealthEast Midway Clinic MTM","3","12/08/2017"
"1801588157","Hidden Abilities","3","05/14/2026"
"1801588157","Community Home Health LLC","4","05/14/2026"
"1801588157","Community Home Health LLC","4","10/24/2024"
"1801728217","Community Care Regional Podiatry and Surgery","3","06/01/2026"
"1841029964","There Is Know Place Like Home LLC.","3","07/29/2024"
"1841374097","WALGREENS #09774","3","04/30/2018"
"1841374097","WALGREENS #09774","3","06/27/2008"
"1841811064","Bundle Therapy","3","04/28/2020"
"1902393291","CORA Physical Therapy - Morristown","3","04/20/2018"
"1902393291","CORA Physical Therapy - Morristown","3","04/23/2018"
"1942256946","ACME PHARMACY #3739","3","06/01/2026"
"1942256946","SAV-ON PHARMACY #3739","3","09/10/2018"
"1962644963","Walgreens #13720","3","04/06/2009"
"1962644963","Walgreens #13720","3","08/27/2018"
"1972683126","Family Medical Associates","3","10/16/2006"
"1033621479","Walgreens Specialty Pharmacy #21152","3","11/26/2024"
"1043225030","WALGREENS #07971","3","06/25/2008"
"1043225030","WALGREENS #07971","3","12/18/2020"
"1053595074","WALGREENS #10100","3","01/04/2008"
"1053595074","WALGREENS #10100","3","03/02/2022"
"1104648963","FirstLight Home Care of Greater Charlotte LLC","3","08/21/2025"
"1104873660","ACME PHARMACY #3961","3","06/01/2026"
"1104873660","SAV-ON PHARMACY #3961","3","08/23/2018"
"1134175755","ACME PHARMACY #2956","3","06/01/2026"
"1134175755","SAV-ON PHARMACY #2956","3","08/28/2018"
"1184670440","ACME PHARMACY #2995","3","06/01/2026"
"1184670440","SAV-ON PHARMACY #2995","3","09/19/2018"
"1194657692","Black River Area Development Corporation","5","06/01/2026"
"1225803943","Guidelight Health","3","09/25/2024"
"1225803943","Guidelight Health","3","11/22/2023"
"1235386012","WALGREENS #10869","3","03/14/2022"
"1235386012","WALGREENS #10869","3","08/22/2008"
"1255278230","Oluwakemi Fayemi","5","04/29/2026"
"1396760872","DUANE READE #14206","3","01/31/2019"
"1396760872","DUANE READE #14206","3","08/26/2011"
"1437957446","Peak Physical Therapy","3","03/05/2025"
"1437957446","Peak Physical Therapy","3","06/04/2025"
"1447408331","WALGREENS #10329","3","03/07/2022"
"1447408331","WALGREENS #10329","3","09/04/2008"
"1447998596","Mid Jefferson Extended Care Hospital","3","04/28/2022"
"1447998596","Mid Jefferson Extended Care Hospital","3","06/02/2025"
"1457307712","ACME PHARMACY #2998","3","06/01/2026"
"1457307712","SAV-ON PHARMACY #2998","3","08/28/2018"
"1457560328","WALGREENS #10389","3","01/16/2008"
"1457560328","WALGREENS #10389","3","03/07/2022"
"1467617258","WALGREENS #11563","3","03/22/2022"
"1467617258","WALGREENS #11563","3","07/22/2008"
"1477509909","ACME PHARMACY #2862","3","06/01/2026"
"1477509909","SAV-ON PHARMACY #2862","3","09/04/2018"
"1477709756","WALGREENS #12164","3","03/29/2022"
"1477709756","WALGREENS #12164","3","08/18/2008"
"1568477503","WALGREENS #02527","3","03/01/2022"
"1568477503","WALGREENS #02527","3","07/02/2008"
"1629582127","Walgreens Specialty Pharmacy #21151","3","11/01/2024"
"1679732069","Walgreens #11270","3","03/18/2022"
"1689862708","WALGREENS #10054","3","06/25/2008"
"1689862708","WALGREENS #10054","3","12/18/2020"
"1720024342","SAFEWAY PHARMACY #2919","3","04/04/2018"
"1720024342","SAFEWAY PHARMACY #2919","3","10/08/2018"
"1720034085","ACME PHARMACY #3994","3","06/01/2026"
"1720034085","SAV-ON PHARMACY #3994","3","08/28/2018"
"1730031097","Partners Pharmacy","3","05/28/2026"
"1740237205","ACME PHARMACY #2914","3","06/01/2026"
"1740237205","SAV-ON PHARMACY #2914","3","08/23/2018"
"1760438386","ACME PHARMACY #2836","3","06/01/2026"
"1760438386","SAV-ON PHARMACY #2836","3","08/28/2018"
"1780630335","ACME PHARMACY #4926","3","06/01/2026"
"1780630335","SAV-ON PHARMACY #4926","3","08/23/2018"
"1780750646","WALGREENS #10448","3","03/08/2022"
"1780750646","WALGREENS #10448","3","06/27/2008"
"1790732253","ACME PHARMACY #0890","3","06/01/2026"
"1790732253","SAV-ON PHARMACY #0890","3","09/19/2018"
"1801667860","Hui Kokua","3","01/09/2024"
"1831114305","DUANE READE #14464","3","02/06/2019"
"1831114305","DUANE READE #14464","3","08/15/2011"
"1841751773","OZONE PARK PHARMACY","3","03/25/2019"
"1841751773","OZONE PARK PHARMACY","3","08/08/2025"
"1851005623","Entira Family Clinic MTM- Hugo","3","04/20/2023"
"1851005623","Fairview Hugo Clinic MTM Entira","3","06/01/2026"
"1851436125","Fairview Highland Park Clinic MTM","3","06/01/2026"
"1851436125","Fairview Highland Park Pharmacy MTM","3","09/01/2022"
"1861041931","Fairview River Falls Clinic MTM","3","06/01/2026"
"1861041931","M Health Fairview River Falls Clinic MTM","3","09/23/2022"
"1861527806","Fairview Crosstown Clinic MTM","3","09/23/2022"
"1861527806","Fairview Edina Clinic MTM","3","06/01/2026"
"1861855173","Fairview Cystic Fibrosis Clinic Adult MTM","3","06/01/2026"
"1861855173","M Health Cystic Fibrosis Clinic Adult MTM","3","10/28/2022"
"1871008003","Fairview Tamarack Clinic MTM","3","06/01/2026"
"1871008003","HealthEast Tamarack Clinic MTM","3","12/11/2017"
"1871425298","HONOLULU VA CLINIC","5","06/01/2026"
"1881186336","Pacific Sports and Spine","3","05/31/2018"
"1902956923","Chicago Northside MRI Center","3","04/18/2013"
"1932038338","THE COUNSELOR THERAPY","3","05/17/2026"
"1972435394","River City Dental Solutions","3","06/01/2026"
"1013964576","ACME PHARMACY #2931","3","06/01/2026"
"1013964576","SAV-ON PHARMACY #2931","3","08/28/2018"
"1053367607","ACME PHARMACY #3835","3","06/01/2026"
"1053367607","SAV-ON PHARMACY #3835","3","09/19/2018"
"1063962579","Awellera","3","06/01/2026"
"1063962579","IHC Associates","3","04/17/2024"
"1063962579","IHC Associates","3","06/01/2026"
"1063962579","In-House Counseling","3","06/01/2026"
"1063962579","Oasis Treatment","3","06/01/2026"
"1144347006","Care to Kids Pediatrics","3","06/01/2026"
"1154426807","Momentum for Health - Alameda Outpatient","3","02/22/2023"
"1154426807","Alliance for Community Care - Alameda","4","02/01/2023"
"1154426807","Alliance for Community Care - Alameda","4","02/22/2023"
"1154426807","Momentum for Mental Health -Alameda","4","02/22/2023"
"1174666010","Intensive Case Management North","3","06/01/2026"
"1174666010","Strengths-Based Case Management","3","11/07/2023"
"1194860247","The Jetty Counseling Center","3","02/20/2007"
"1194860247","The Jetty Counseling Center","3","09/08/2021"
"1275589533","ACME PHARMACY #0833","3","06/01/2026"
"1275589533","SAV-ON PHARMACY #0833","3","09/10/2018"
"1295205656","Agape Nursing Care","3","06/01/2026"
"1295205656","Agape Nursing Care","3","09/05/2019"
"1346949898","Momentum for Health - Employment Services IPS","3","02/22/2023"
"1366498628","ACME PHARMACY #1908","3","06/01/2026"
"1366498628","SAV-ON PHARMACY #1908","3","08/28/2018"
"1407802028","ACME PHARMACY #2927","3","06/01/2026"
"1407802028","SAV-ON PHARMACY #2927","3","08/23/2018"
"1437081882","Palms Pharmacy of Starke","3","06/01/2026"
"1518914076","ACME PHARMACY #0992","3","06/01/2026"
"1518914076","SAV-ON PHARMACY #0992","3","08/28/2018"
"1528188224","Morrison Family Care Clinic","3","03/29/2007"
"1558293993","LAKESIDE DENTAL","3","06/01/2026"
"1588363030","Momentum for Health - Outpatient Employment Services","3","02/22/2023"
"1588363030","Momentum for Mental Health - Outpatient Employment Services","4","02/22/2023"
"1598711145","ACME PHARMACY #3970","3","06/01/2026"
"1598711145","SAV-ON PHARMACY #3970","3","08/28/2018"
"1609823160","ACME PHARMACY #0664","3","06/01/2026"
"1609823160","SAV-ON PHARMACY #0664","3","08/28/2018"
"1699474130","Momentum for Health - Employment Services DOR","3","02/22/2023"
"1699474130","Alliance for Community Care - Employment Services","4","02/22/2023"
"1699474130","Momentum for Mental Health - Employment Services","4","02/22/2023"
"1750218004","New Life Associates","3","05/08/2026"
"1831146398","ACME PHARMACY #3858","3","06/01/2026"
"1831146398","SAV-ON PHARMACY #3858","3","09/10/2018"
"1902603228","Fairview Bloomington Oxboro Clinic MTM","3","06/01/2026"
"1902738354","Apex Health and Rehab","3","06/01/2026"
"1902852999","ACME PHARMACY #3920","3","06/01/2026"
"1902852999","SAV-ON PHARMACY #3920","3","08/28/2018"
"1942132394","AdventHealth Total Health Management DBA AdventHealth Primary Care Plus Wildwood","3","05/21/2026"
"1952233579","Miracle Ear","3","05/29/2026"
"1962458513","ACME PHARMACY #2855","3","06/01/2026"
"1962458513","SAV-ON PHARMACY #2855","3","09/19/2018"
"1962458588","ACME PHARMACY #0831","3","06/01/2026"
"1962458588","SAV-ON PHARMACY #0831","3","09/19/2018"
"1972259570","Fairview Hibbing Clinic","3","06/01/2026"
"1972259570","M Health Fairview Hibbing Clinic MTM","3","09/22/2022"
"1982318424","Entira Family Clinic MTM- Highland","3","03/12/2025"
"1982318424","Fairview Highland Clinic MTM Entira","3","06/01/2026"
"1023940400","Saltwood Mental Health","3","06/01/2026"
"1093761082","ACME PHARMACY #4932","3","06/01/2026"
"1093761082","SAV-ON PHARMACY #4932","3","08/23/2018"
"1104122738","Another chance 4 change","3","01/29/2011"
"1114700119","IBARRA FAMILY HEALTH CENTER","3","06/01/2026"
"1154253524","Reliant Medical Transport","3","06/01/2026"
"1215539796","Searchlight Family Therapy","3","11/10/2020"
"1215539796","Searchlight Family Therapy","3","12/14/2020"
"1235061607","Carlson Consulting Clinic","3","05/18/2026"
"1316993934","ACME PHARMACY #0943","3","06/01/2026"
"1316993934","SAV-ON PHARMACY #0943","3","08/28/2018"
"1336071711","Woodstock Therapeutic Community Residential","5","06/01/2026"
"1376497081","Dalanhese Adaptive Psychiatry","3","06/01/2026"
"1508267980","Nicole Minard, Inc","4","09/04/2014"
"1508267980","Nicole Minard, Inc","4","10/10/2018"
"1518784313","Sanford Health Equip","3","09/23/2024"
"1629900097","WELLINGTON VA CLINIC","5","06/01/2026"
"1669024329","Open Door Health","3","07/12/2019"
"1669024329","Open Door Health","3","07/19/2019"
"1669024329","Open Door Healthcare","3","07/12/2019"
"1669210209","DISTINCT CARE HEALTH SERVICES","3","07/17/2024"
"1679419808","Poudre Valley Hospital","3","06/01/2026"
"1699164863","Rochester Health Mart Pharmacy","3","01/12/2015"
"1699164863","Rochester Health Mart Pharmacy","3","11/20/2020"
"1699907782","Advantage PT","3","06/01/2026"
"1699907782","Advantage PT Corp.","3","06/01/2026"
"1699907782","Advantage Physical Therapy","3","06/01/2026"
"1699907782","Advantage Physical Therapy","3","08/21/2009"
"1720699788","NP Practice","3","05/29/2026"
"1801674999","A Better Day Groups, Inc.","4","08/21/2024"
"1801674999","A Better Day Groups, Inc.","4","09/27/2023"
"1811943178","ACME PHARMACY #0852","3","06/01/2026"
"1811943178","SAV-ON PHARMACY #0852","3","09/19/2018"
"1881155224","MS Shook Student Health Service","3","06/01/2026"
"1902311244","Fairview Vadnais Heights Clinic MTM","3","06/01/2026"
"1902311244","HealthEast Vadnais Heights Clinic MTM","3","12/08/2017"
"1992148845","Fairview Mental Health MTM","3","06/01/2026"
"1992148845","M Health Fairview Mental Health MTM","3","09/22/2022"
"1992995286","Fairview Wyoming Clinic MTM","3","09/22/2022"
"1124457817","Mooresville Pediatric Dentistry","3","06/16/2021"
"1124457817","Mooresville Pediatric Dentistry","3","11/04/2013"
"1124950415","Sinai Pediatric Neurology Associates At Greenspring Ave","5","06/01/2026"
"1184556474","Health Initiatives","3","06/01/2026"
"1184556474","Pregnancy Center of the Coastal Bend","3","06/01/2026"
"1245214568","M-Power Prosthetics","3","01/30/2012"
"1356273742","Alternatives","5","06/01/2026"
"1366156168","LBU-School-Based Clinic at Clara Oliver","3","06/10/2024"
"1396677696","CoxHealth Trauma Providers South","3","06/01/2026"
"1558451716","Brown County Mental Health Hancock County Mental Health Counseling Cen","4","10/16/2006"
"1568190890","Shrinkty","3","08/14/2022"
"1568190890","Shrinkty","3","09/08/2022"
"1760288278","MMC Faculty Practice","5","06/01/2026"
"1760288278","One Medical","5","06/01/2026"
"1891978482","NextSteps of O'Connor Foundation","3","08/16/2011"
"1891978482","NextSteps of O'Connor Foundation","3","11/05/2021"
"1932967502","Prestige Pharmacy","3","03/06/2024"
"1962488957","AdaptHealth","3","10/02/2024"
"1992473409","blue Gems ABA","5","07/18/2024"
"1992473409","blue Gems ABA","5","08/31/2021"
"1003765157","OAKLEAF CLINICS RHC MENOMONIE","3","06/01/2026"
"1003865999","TAHLEQUAH CITY HOSPITAL","3","04/12/2007"
"1023864808","ADVANCED WOUND ASSOCIATES","3","05/19/2026"
"1023864808","ADVANCED WOUND CARE ASSOCIATES PLLC","3","05/09/2024"
"1023864808","ADVANCED WOUND CARE ASSOCIATES PLLC","3","05/19/2026"
"1063457380","Reid Health","3","07/08/2015"
"1114176146","Concord Health & Rehabilitation Center","3","09/15/2008"
"1124016423","Batavia Nursing Care Center","3","10/11/2005"
"1124016423","Batavia Nursing Care Center","3","11/05/2020"
"1134316334","Cumberland Pointe Care Center","3","10/02/2007"
"1154493856","Family HealthCare Hospital","3","03/21/2018"
"1154493856","Family HealthCare Hospital","3","10/17/2017"
"1154904332","Renew Counseling Ministries","3","05/04/2021"
"1154904332","Renew Counseling Ministries","3","10/25/2021"
"1205772811","HealthSource PCR Lab","3","04/27/2026"
"1215886361","OAKLEAF CLINICS RHC RICE LAKE","3","06/01/2026"
"1265689111","Reid Health Physician Associates","3","10/13/2015"
"1265940902","Bright Blessings","3","02/03/2026"
"1265940902","Bright Blessings Birth Services","4","02/03/2026"
"1285416883","CONCORD RIDGE HEALTH AND REHABILITATION","3","12/29/2023"
"1295624385","Addus HomeCare","3","07/02/2025"
"1306820691","Arlington Care Center","3","11/05/2020"
"1306820691","Arlington Care Center","3","12/01/2005"
"1316949589","Crown Pointe Care Center","3","05/04/2018"
"1316949589","Crown Pointe Care Center","3","06/01/2005"
"1326865601","BENNINGTON GLEN NURSING AND REHABILITATION","3","09/26/2024"
"1326865601","BENNINGTON GLEN NURSING AND REHABILITATION","3","12/11/2024"
"1336071638","Senior Helpers of East Plano","3","06/01/2026"
"1366983850","Urgent Care","3","05/18/2017"
"1447296926","The Sheppard Pratt Health System, Inc.","4","06/01/2026"
"1447296926","The Sheppard and Enoch Pratt Hospital, Inc.","4","04/07/2025"
"1447296926","The Sheppard and Enoch Pratt Hospital, Inc.","4","06/01/2026"
"1447296926","The Trustees of the Sheppard and Enoch Pratt Hospital","4","06/01/2026"
"1447296926","Sheppard Pratt - Baltimore Washington Campus","5","06/01/2026"
"1447842745","AUSTIN TRACE HEALTH AND REHABILITATION","3","02/08/2021"
"1578378295","INFINITY HEALTH CARE","4","02/10/2025"
"1578378295","INFINITY HEALTHCARE","4","02/10/2025"
"1619812039","HealthSource PCR Lab","3","04/22/2026"
"1679405989","Southern Hills","3","06/01/2026"
"1720080997","Country View of Sunbury","3","05/04/2018"
"1720080997","Country View of Sunbury","3","06/01/2005"
"1770537458","AV FAMILY MEDICINE AND URGENT CARE","3","06/01/2026"
"1770537458","Aliso Viejo Family Medicine PC","3","06/01/2026"
"1790787968","Canterbury Villa of Alliance","3","05/04/2018"
"1790787968","Canterbury Villa of Alliance","3","06/01/2005"
"1790788552","CLAYMONT HEALTH & REHABILITATION","3","05/04/2018"
"1841701877","Family HealthCare South","3","03/21/2018"
"1942132261","Cornerstone Caregiving","5","06/01/2026"
"1972164713","CAPRI GARDENS","3","03/26/2021"
"1972164713","CAPRI GARDENS","3","06/20/2019"
"1992559645","Family HealthCare","3","04/17/2024"
"1003748328","Mercy Pharmacy 370 Crossing","3","06/01/2026"
"1003748336","1st Choice Pediatrics","3","06/01/2026"
"1043725260","HEALTHEAST PAIN CLINIC MTM","3","12/11/2017"
"1043875164","Individual Services","3","07/02/2019"
"1063541415","Fort Lupton School District","5","03/03/2007"
"1093647406","NMMC Wound Center & Hyperbarics West Point","3","06/01/2026"
"1164558714","Beechwood Division","3","02/26/2007"
"1174727192","Emerald Pointe Health and Rehabilitation Center","3","05/07/2018"
"1174727192","Emerald Pointe Health and Rehabilitation Center","3","06/13/2007"
"1215769153","THE GABLES OF MARYSVILLE HEALTH AND REHABILITATION","3","08/19/2024"
"1215769153","THE GABLES OF MARYSVILLE HEALTH AND REHABILITATION","3","10/23/2024"
"1255263588","North Mississippi Eye Care","3","06/01/2026"
"1265738298","The Roads Home Health Broward","3","08/24/2020"
"1306125133","Thibodaux Regional Internal Medicine Clinic","3","05/09/2024"
"1306125133","Thibodaux Regional Internal Medicine Clinic","3","06/24/2020"
"1306778642","Keaveny Pharmacy","3","06/01/2026"
"1316716368","Hyena Rehab & Performance","3","03/08/2025"
"1316716368","Hyena Rehab & Performance","3","12/30/2023"
"1326911165","Valley Weight Loss","3","09/26/2025"
"1356446736","Florida Cancer Specialists P L","4","02/04/2019"
"1396570511","Thibodaux Regional Family Medicine Clinic - Thibodaux","3","06/02/2025"
"1396570511","Thibodaux Regional Family Medicine Clinic - Thibodaux","3","09/06/2024"
"1437711140","Kirby Rx","5","07/02/2019"
"1447024054","PAHMA LLC","3","06/01/2026"
"1447544010","Tampa Family Health Center #30","3","06/04/2014"
"1477485894","CBWCHC Pharmacy Queens","3","06/01/2026"
"1477889814","Fairview Women's Clinic MTM","5","10/20/2009"
"1477889814","Fairview Women's Clinic MTM","5","11/09/2021"
"1477995124","AdventHealth","3","01/28/2020"
